317126508024.0,8.0,7.53,A,A,A,A+,B+,A+,B+,,
317126508025.0,8.72,8.2,A+,A,A,A+,A+,A+,A+,,
317126508026.0,7.94,7.8,A,A,A,B+,A,A+,A,,
317126508027.0,,,F,B,B+,F,C,B+,B+,,
317126508028.0,8.72,8.85,A+,A+,A,A+,A,A+,A+,,
317126508029.0,8.72,8.33,O,A,A,A+,A,A+,A+,,
317126508030.0,,,C,C,A,C,F,B+,B+,,
317126508031.0,9.06,8.63,O,A+,A,O,A,O,A,,
317126508032.0,7.67,7.35,A+,B,C,O,B+,A+,B+,,
317126508033.0,,,F,P,P,F,P,A,A,,
317126508034.0,8.39,7.63,B+,A+,A,A,A+,A+,A+,,
317126508035.0,7.72,7.6,B+,B+,A,A,B+,A+,A+,,
317126508036.0,,,F,F,P,F,P,B+,B+,,
317126508037.0,,,P,F,P,P,P,B+,B+,,
317126508038.0,5.72,5.78,C,B+,C,P,C,A,B+,,
317126508039.0,7.33,7.0,B+,B+,B,A,B,A+,A+,,
317126508040.0,7.61,7.4,B+,B+,B+,A,B+,A+,A+,,
317126508041.0,,,C,B,C,C,F,B+,B,,
317126508042.0,8.39,7.38,A,A+,A,A,A,O,A,,
317126508043.0,4.56,,P,P,P,P,P,B+,B,,
317126508044.0,5.06,,P,P,C,P,C,A,B+,,
317126508045.0,7.61,,A,B+,A,B+,B+,A+,A,,
317126508046.0,6.5,6.65,A,C,B,B+,C,A,B+,,
317126508047.0,6.83,6.88,B+,B+,C,B+,B,A,A,,
317126508048.0,,,P,F,B+,P,C,A,A,,
317126508049.0,7.83,7.88,A,A,A,A,B+,A,A,,
317126508050.0,6.0,,P,B,B,B,B,B+,A,,
317126508051.0,9.61,9.53,O,A+,A+,O,O,O,A+,,
317126508052.0,8.33,8.35,A+,A,A,A+,A,A,A,,
317126508053.0,,,F,F,F,I,P,I,A,,
317126508054.0,,,F,F,P,F,P,B+,B+,,
317126508055.0,9.5,9.0,O,A+,A+,O,O,A+,A+,,
317126508056.0,5.72,5.7,C,B,C,C,C,B+,A,,
317126510001.0,8.38,8.16,O,A,B,B+,A,O,A,O,A+
317126510002.0,7.83,7.93,B+,B,A,A,A,O,A,B+,O
317126510003.0,6.46,6.49,B,B,B,B,C,A+,B+,B,A+
317126510004.0,,,P,P,C,B,F,O,A,B+,A+
317126510005.0,7.29,7.58,C,A,A,B+,B,A+,A,B+,A+
317126510006.0,6.88,6.81,B+,B+,B,B+,C,O,A,C,A+
317126510007.0,,,P,P,C,C,F,A+,A,F,A
317126510008.0,7.17,8.02,B,B+,A,B+,B+,A+,A,C,A+
317126510009.0,7.17,6.98,A,B+,C,B+,P,A+,A,A+,A+
317126510010.0,8.92,8.95,A+,A,A+,A+,A,O,A+,A+,O
317126510011.0,7.38,7.26,B,B+,A,B+,B+,A+,A+,B,A+
317126510012.0,9.13,8.86,A+,A+,A+,A+,A+,O,A,O,A+
317126510013.0,8.79,9.0,A+,A,A,A+,A,O,A+,A+,O
317126510014.0,7.96,8.33,B,A+,A+,B+,B+,O,A+,B+,A+
317126510015.0,9.29,9.19,A+,A+,A+,O,A+,O,A+,A+,O
317126510016.0,8.5,8.65,A,A,A,A+,B+,O,O,A,O
317126510017.0,7.29,7.37,B,B+,B+,B+,B+,A+,A,B+,A+
317126510018.0,6.04,6.56,C,P,B,B+,P,A+,A,C,A+
317126510019.0,7.38,7.28,C,B+,B+,A,B+,O,A,B+,A+
317126510020.0,8.92,9.02,A+,A,A+,A+,A,O,A+,A+,O
317126510021.0,7.38,7.77,A,B+,B,B,B+,O,A,B+,A+
317126510022.0,9.0,8.7,O,A,A+,A+,A+,O,A,A+,A+
317126510023.0,8.75,8.6,O,A+,A,A+,A,O,A,A,A+
317126510024.0,8.29,8.42,A+,B+,B+,A+,A,A+,A,A+,A+
317126510025.0,8.08,7.95,A,A,B+,B+,B+,O,A+,A+,A+
317126510026.0,,,F,F,F,F,F,A+,B+,F,O
317126510027.0,7.38,7.56,A+,C,C,A+,C,O,A,A,A+
317126510028.0,,,P,C,C,B+,P,O,B+,F,O
317126510029.0,7.21,7.21,P,A,A,B+,B+,O,A+,C,A+
317126510030.0,8.92,8.91,A+,A,A,A+,A,O,A+,O,O
317126510031.0,6.83,6.72,B+,B,C,A,C,A+,B+,B+,A+
317126510032.0,5.79,6.12,P,C,C,B,P,A+,A,C,A+
317126510033.0,,,P,C,C,B,F,A+,A,B,A+
317126510034.0,8.21,8.05,A+,A+,B+,A,B+,A+,B+,A+,A+
317126510035.0,7.38,7.79,B+,A,A,P,B+,O,A,B+,A+
317126510036.0,9.58,9.51,O,O,A,O,O,O,A,O,O
317126510037.0,9.17,9.09,A+,O,A+,A+,O,O,A+,B+,O
317126510038.0,9.17,8.98,A+,A+,A,A+,O,O,A+,A+,O
317126510039.0,9.17,9.0,A+,A+,A+,A+,A,O,A+,O,O
317126510040.0,,,P,P,C,F,F,O,A,A+,A+
