,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
317126510043,8.17,8.06,A+,B+,A,B+,A,A+,A+,A+
317126510044,7.63,,B+,B,A+,B+,B+,A,A+,A+
317126510045,9.25,9.12,A+,A,O,A,O,O,A+,O
317126510046,6.67,,B+,P,B+,B,B,A,A+,A
317126510047,7.46,,B+,B,B+,B+,B+,O,A+,A+
317126510048,7.75,7.81,A,C,A+,B+,A,A,A+,A
317126510049,,,B,F,C,P,P,A,A,B
317126510050,8.54,8.81,A,A,A+,B+,O,A+,A+,A
317126510051,8.38,8.67,A+,B+,A+,A,A+,A+,A,B+
317126510052,8.54,8.42,A+,P,O,B+,O,A+,O,A+
317126510053,8.29,8.31,A,B+,A+,A,A,O,A+,A
317126510054,,,B+,B,B+,F,P,A,A,B+
317126510055,9.08,8.91,A+,A,O,A,A+,O,A+,O
317126510057,8.21,8.28,A+,B+,A,B,A+,A+,A+,A+
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510058,,,C,F,B+,P,B,B+,B,C
317126510059,8.42,7.82,O,B+,A,A+,A,O,A,B+
317126510061,9.08,8.67,O,B+,O,A+,A,O,A+,O
317126510062,,,F,F,F,F,F,F,B+,F
317126510063,7.67,7.88,A,B+,A+,C,A+,B+,A,B+
317126510064,6.79,7.27,B,P,A,B+,B+,A,A,B+
317126510065,9.42,9.34,A+,A+,A+,A+,O,O,O,O
317126510066,8.88,8.40,A,A,O,A+,A+,A+,A+,A+
317126510067,9.25,8.60,A+,A+,O,A+,A+,O,A+,A+
317126510068,8.00,7.75,A,B+,A+,B+,A,B+,A+,A+
317126510069,9.04,8.88,A+,A+,O,A,O,A+,A+,B+
317126510070,8.46,8.49,A+,B+,A+,A,A+,A,A+,A
317126510071,8.54,8.57,A+,A,A,A+,A+,A+,A+,B+
317126510072,9.29,8.93,A+,A+,O,A,O,O,A+,A+
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510073,8.92,8.61,A+,A+,A+,A+,A+,A+,A+,A
317126510074,8.13,7.79,B+,B+,A,A,A+,A+,A+,A+
317126510075,8.50,8.34,A,B+,A+,A+,A+,A+,A,A+
317126510076,8.79,8.57,A+,A+,A+,A,A+,A+,A+,A
